,year,age,cohort,sex,race,educ,realinc,gunlaw,grass,wtssall
86,1972,68.0,1904.0,2,1,7.0,,1.0,,1.3339
87,1972,47.0,1925.0,2,1,12.0,43994.0,2.0,,1.3339
88,1972,48.0,1924.0,2,1,13.0,18951.0,1.0,,0.8893
89,1972,46.0,1926.0,2,1,9.0,43994.0,1.0,,0.8893
90,1972,22.0,1950.0,2,1,12.0,,1.0,,0.8893
91,1972,68.0,1904.0,1,2,12.0,8122.0,1.0,,1.3339
92,1972,29.0,1943.0,2,1,13.0,50763.0,1.0,,0.8893
93,1972,45.0,1927.0,1,1,12.0,43994.0,2.0,,0.8893
94,1972,22.0,1950.0,1,1,12.0,37226.0,1.0,,1.3339
95,1972,46.0,1926.0,1,1,14.0,30458.0,2.0,,0.8893
96,1972,66.0,1906.0,2,1,12.0,24366.0,1.0,,0.8893
97,1972,26.0,1946.0,1,3,12.0,18951.0,1.0,,1.7786
98,1972,58.0,1914.0,2,1,12.0,18951.0,1.0,,1.3339
99,1972,34.0,1938.0,2,1,11.0,30458.0,1.0,,0.8893
100,1972,19.0,1953.0,1,2,13.0,24366.0,1.0,,1.7786
101,1972,78.0,1894.0,2,1,3.0,37226.0,1.0,,1.3339
102,1972,80.0,1892.0,2,1,9.0,,2.0,,0.8893
103,1972,26.0,1946.0,2,1,12.0,18951.0,1.0,,0.8893
104,1972,74.0,1898.0,1,1,10.0,8122.0,1.0,,0.8893
105,1972,50.0,1922.0,1,2,8.0,18951.0,1.0,,0.8893
106,1972,29.0,1943.0,2,2,12.0,13537.0,1.0,,0.8893
107,1972,45.0,1927.0,1,1,9.0,13537.0,1.0,,0.8893
108,1972,55.0,1917.0,1,1,8.0,60915.0,2.0,,0.8893
109,1972,78.0,1894.0,2,1,9.0,,1.0,,0.4446
110,1972,27.0,1945.0,2,1,8.0,37226.0,1.0,,1.7786
111,1972,47.0,1925.0,2,1,12.0,43994.0,2.0,,1.3339
112,1972,63.0,1909.0,1,1,14.0,50763.0,1.0,,0.8893
113,1972,44.0,1928.0,2,1,15.0,43994.0,1.0,,0.8893
114,1972,22.0,1950.0,1,1,14.0,50763.0,1.0,,1.3339
115,1972,21.0,1951.0,2,1,9.0,2707.0,2.0,,0.8893
116,1972,42.0,1930.0,2,1,12.0,30458.0,2.0,,0.8893
117,1972,48.0,1924.0,2,1,13.0,37226.0,1.0,,1.3339
118,1972,64.0,1908.0,2,1,12.0,,1.0,,0.8893
119,1972,48.0,1924.0,1,1,13.0,37226.0,2.0,,0.8893
120,1972,64.0,1908.0,2,1,8.0,2707.0,1.0,,0.4446
121,1972,49.0,1923.0,1,2,12.0,37226.0,1.0,,1.7786
122,1972,49.0,1923.0,2,1,12.0,37226.0,1.0,,0.8893
123,1972,30.0,1942.0,2,1,12.0,24366.0,1.0,,0.8893
124,1972,55.0,1917.0,1,1,12.0,37226.0,2.0,,0.8893
125,1972,34.0,1938.0,1,1,13.0,37226.0,1.0,,1.3339
126,1972,21.0,1951.0,2,1,12.0,30458.0,1.0,,2.2232
127,1972,35.0,1937.0,2,2,15.0,30458.0,1.0,,0.8893
128,1972,54.0,1918.0,1,1,14.0,37226.0,2.0,,0.8893
129,1972,30.0,1942.0,2,1,12.0,43994.0,1.0,,0.8893
130,1972,53.0,1919.0,2,1,15.0,37226.0,1.0,,0.8893
131,1972,59.0,1913.0,1,1,12.0,30458.0,2.0,,0.8893
132,1972,54.0,1918.0,1,1,14.0,37226.0,2.0,,0.8893
133,1972,37.0,1935.0,1,1,14.0,30458.0,1.0,,0.8893
134,1972,31.0,1941.0,2,2,14.0,24366.0,2.0,,0.8893
135,1972,76.0,1896.0,1,1,12.0,24366.0,2.0,,0.8893
136,1972,29.0,1943.0,2,1,12.0,30458.0,1.0,,0.8893
137,1972,60.0,1912.0,1,1,12.0,30458.0,1.0,,1.3339
138,1972,30.0,1942.0,2,1,12.0,30458.0,2.0,,0.8893
139,1972,43.0,1929.0,1,1,10.0,37226.0,1.0,,0.8893
140,1972,47.0,1925.0,2,1,12.0,43994.0,2.0,,1.3339
141,1972,53.0,1919.0,1,1,12.0,74452.0,2.0,,0.8893
142,1972,53.0,1919.0,2,1,12.0,13537.0,1.0,,0.8893
143,1972,54.0,1918.0,2,2,2.0,13537.0,1.0,,1.7786
144,1972,26.0,1946.0,1,1,14.0,50763.0,2.0,,2.6679
